sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
si li commenche a crier.  Ha : gentils homs quar secoures ceste damoisele  que cist ribaut voelent ochirre. 	començo a dar vozes  e a deçir ay jentil cauallero acorred a esta donçella 	si luy commence a crier haa gentili cheualier secourez ceste damoisele  que ces ribaux ueulent occire. 	si li comance a crier. ha:  gentis cheualiers secores ceste damoisele  que ciz ribaut wellet ocire. ha; 	uiere commenca a crier et dire en tell maniere  Haa beau et gentil cheualier secoures ceste damoiselle  que ces ribaulx ueullent occire/ haa franc homme 	si commence a crier: «  Ha, gentilz chevaliers,  secorés ceste damoisele  que cist ribaut vuelent ocirre. 	si gli comincia a gridare:  Hal, gentile huomo,  soccorete questa damigella  che questi rubaldi vogliono uccidere! 
Pour dieu ne mi laissies ore mie morir. 	que estos Ribaldos me quieren  ansi matar ay buen cauallero 	Haa franc homme ne me lessez mourir 	frans hons ne mi laissiez morir 	fait elle me lesres uous ainsi mourir entre les mains de telx paillars. 	Ha, frans hom,  ne m’i laissiés morir, 	Hal, franco cavaliere, non mi lasciate uccidere, 
se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame 	si nunca oviste piedad de donçella  auelda agora de mi 	si uous eustes onc pitie de nulle gentilz damoisele. 	se uos eutes onques pitie de franche damosele. 	et se uous pitie de moy  car se uous ne me secoures ie suys a la mort liurer. 	se vos onques eustes pitié de nule gentil damoisele !» 	se voi unque aveste piatà  di nulla gentile damigella». 
	e no me dexedes asi morir					
Quant bohors oy 	Quando boores oyo 	quant boort ouy celle 	quant boh̾. oit cele 	Et quant boort ouyt 	Quant Boors ot ce 	“Quando Boordo ode colei 
que la damoisele li prioit si piteusement de li secorre 	lo que la donçella deçia 	qui le prie si piteusement  quil la sequeure il ne scait que faire 	que si piteusement lapele  et li prie 	quelle le prioit si piteusement 	qu’ele li prie si pitousement  qu'il la secore, 	che l priega si piatosamente  che-lla soccorra, 
si One sot  que faire quar volentiers li alast aidier sil peust estre 	no supo que façer  ca muy de grado la quisiera acorrer  si pudiese 	car uoulentiers luy alast aider sil peust 	quil la sekeure.  Sire set que faire.  car uolentiers li alait aidier 	si ne scait que faire  car uoulentiers luy allast aider  se il peult estre/ 	si ne set que fere,  kar volentiers li aidast  s’il peust; 	si non sa che fare,  ché volentieri l’andasse ad atare se potesse, 
mais il voit laigue parfonde et perillouse et noire. 	Mas el agua hera muy fonda e peligrosa e negra 	mais il uoit leaue parfonde noire et perilleuse 	se il poist.  Mais il uoit leue si parfonde et si perilleuse 	mes il uoit la riuiere parfonde et dangereuse a passer. 	mais il voit l’eve noire  et parfonde et si perilluse 	ma e vede l’acqua nera e profonda e perigliosa 
si quide bien morir  se il si met 	e bien cuidaua morir  si se y Metiese 	que il cuide bien mourir sil si mect dedans. 	que il cuide bien perir  se il se met dedans. 	et scait bien sil entre dedens  qu il se met en peril de mort. 	qu’il cuide bien noier,  s’il se met dedens; 	che crede bene morire  s’elli si mette di dentro; 
Et dautre part voit il cels 	e dela otra parte veya la donçella 	Et dautre part il uoit celle 	et dautre part il uoit cele 	Et daultre part il uoit celle 	et d'autre part il voit cele 	e d’altra parte  e vede colei 
qui si piteusement li crie merci. 	que muy afincada mente le pedia merçed 	qui si fort luy crie mercy. 	qui si docemet li prie nc .ci. 	qui si piteusement fui crie mercy. 	qui si durement crie merci; 	che si duramente gli grida mercé, 
