sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
Et se on te demande  qui ti envoie.  Si di  que cil ti envoie 	e desque y fueres si te preguntaren  quien te ymbia tu les diras 	Et se len te demande  qui te y enuoye.  tu diras cil 	et se lon te demande  qui ti enuoie:  Si diras  que cil 	et se len te demande  qui te y enuoie si dis: 	et se l’en te demande  qui t’i envoie,  si diras «  cil 	e se l’uomo ti domanda  chi ve l’arà mandato,  e tu lor di quelli 
qui ot lez blanches armes le iour 	que el cauallero delas armas blancas 	qui eut les armes blanches le iour 	qui ot les armes blanches.  le ior 	celui qui eut les blanches armes le iour 	qui ot les ames blanches le jor 	ch’ebbe l’armi bianche il giorno 
que li castiaus fu conquis 	que el castillo conquisto te ymbia alla 	que le chasteau fut conquis. 	que li chastiax fu conquis 	que le chasteau fut cenquis 	que li chastials fu conquis. » 	che l castello fu conquiso». 
Et cil li fiance  que ensi le fera il AN tel maniere 	e el cauallero selo juro asi façer 	et il luy fiance  que ainsi le fera il. 	et cil li fiance  que tout ainsi le fera il. 	et cefui lui promet. 	Et il li fiance  que tot ensi le fera il. 	»E elli il giura  ch’elli insi el farà. 
	e lançarote se fue luego parala tumba 					
com vous oies conquist lancelot le cors Galeholt. Et lors y quant il ot au cheualier fait fianchier a faire sa volente.  si prent le lame par le gros chief. 	e tomo a manos el cobertor Porel Cabo  que mas hera grueso  asi afuerça porlo leuantar  quela sangre le quebro porla cabeça  e porlas narizes  quelas açerdas de todo el cuerpo 	Lors prent lancelot la lame par le plus gros bout 	Lors prent lanc̃. la lemme par le plus gros chief. 	Lors prent lancelot la lame par le gros chief 	Lors prent Lancelos la lame par le plus gros chief, 	Allor prende Lancellotto la lama  per lo più grosso capo, 
si le tire par si grant force.  que a poi quil ne sest tous derrompus. 	se le estendieron muy fuertemente  asi que por fuerça ovo el cobertor  a leuantar maguer 	si tire de si grant force qua pou  quil ne se derompt tout. 	si la tire de si grant force que a pou quil ne se desront tous. 	et la tire de si graut force  que a peu quil ne se derompt tout 	si tire de grant force  qu’a pou qu’il ne se deront tos, 	si tira per si gran forza  che a poco che non si dirompe tutto, 
Si que li sans vole parmi le nes. et parmi la bouche  Et li cors li tressue de langoisse  que il en a. 	Mucho hera pesado  Mas nunca el tal duelo  ovo como estonçe  e tal Pesar  quando el vido el cuerpo de Galeote 	si que le sang luy uole par le nes et par la bouche.  et le corps luy sue dangoesse.  mais pour toute la destrece ne demeure pas 	Si que li sans li uole parmi le nes et parmi la boche  et li cors li sue dangoisse  mais portoie la destresce ne remaint  que il nait la tombe leuee en haut. 	et tant que le corps lui sue dangoisse/ 	si que li sans li vole par mi le nes et par mi la boche  et li cors li sue d’anguoisse.  Mais por tote la destrece ne remaint  qu’il n’ait la tombe levee en haut à; 	e sì che l sangue gli dirompe per me' el naso e per me' la bocca e l corpo gli suda della angoscia,  ma per tutte le distrezze non rimane  che non abbia la tomba levata in alti. 
Mais nulle dolors 	e estaua armado de todas armas  e tenia su espada cabe si que hera muy buena e clara 	quil ne leue la tombe en hault. ne nulle douleur 	mais nule dolors 	mais nulle douleur 	mes nule dolors 	Ma nullo dolore 
quil ait eue ne monte riens a celi 	e sin falta el se ouiera conella muerto 	quil eut oncquez  mais ne fu rien a celle douleur 	que il eust onques ne monte sur rien. 	quil eust  mais ne monte riens a celle douleur 	qu’il eust onques ne monte rien a cele dolor 	ch’elli avesse unque  mai non fu nulla inverso quello dolore 
quil ot  quant il vit le cors Galeholt arme 	si la donçella  Que del lago auia venido delas manos 	quil eut  quant il uu le corps galehot tout ainsi arme 	A cele que il ot  quant il uit le cors Galehot. 	qu il eust  quant il uist le corps de gallehaut tout arme 	qu’il ot,  quant il vit le cors Galehout tot ensi armé 	quand’e vide il corpo di Galeotto 
tout ensi com il estoit. 	no sela tirara  e luego fiço façer lançarote vnas andas 	comme il estoit. 	ensi arme con il estoit. 	ainsi comme il estoit. 	com il estoit; 	tutto insì armato  com’egli era. 
	e cobrir de muy Ricos paños 					
	e poner enellas el cuerpo de Galeote 					
	e el cauallero Dixo a lançarote 					
Si troua lespee deles lui 	señor yo vosloaria  si vos plugiese 	si trouua lespee pres de luy 	si troua lespee deles lui 	Si trouua son espee empres lui 	si trova s’espee delés lui 	eSi truova sua spada dallato a- llui 
	que luego Mouiese de aqui conel cuerpo de galeote 					
	Porque dixo lançarote 					
	porque señor dixo el cauallero 					
	porque si los caualleros desta tierra lo supieren 					
	que de aqui lo queredes llebar 					
	faran guardar los tres pasos 					
	asi que sera detenido en algund lugar 					
	e poresto seria bien 					
qui tant estoit bele et boine et sans faille de lespee 	que nos alongasemos de aqui esta noche vnas diez leguas bien acordades  Dixo lançarote 	qui moult estoit bonne et bele  Et sans faille de lespee mesmes 	qui mout estoit bele et bone.  et sans faille de lespee 	qui tant estoit benne et belle. 	qui molt estoit et bone et clere;  et sans faille de l’espee meesmes 	che molto era buona e bella,  e sanza fallo della spada medesima 
se fust il ocis 	e luego fiço poner las andas 	se fust il occis 	meismes ce fust il ocis 	et sans faulte il sen eust occiz 	se fust il ocis, 	si sarebbe elli ucciso, 
se la damoisele ne li eust desfendu  quar elle li osta lespee de sez mains.  Lors fist lancelot vne biere de fust. 	sobre dos palafrenes muy andadores  e lleuarlo asi  Mas mucho ouieron gran pesar los frailes 	se la damoiscle ne luy eust tollue erraument.  Lors fist lancelot faire une litiere de fust. 	se la damoisele ne li eust tolue.  Lors fait lanc̃.  faire une biere de fust 	se la damoiselle ne lui eust ostee.  Lors fist lancelot une biere de fust 	se la damoisele ne li eust tolue erraument.  Lors fist Lancelos une biere fere de fust 	se-lla damigella non gliel’avesse tolta,  perciò rimase.  Allor fece Lancellotto fare una lettiera di legno 
et le fist courir del plus riche paile de laiens 		et la fist couurir des plus riches pales de leans. 	et la fait courir des plus biax pailes de laiens 	et la fist couurir du plus riche drap de leans. 	et la fist covrir des plus riches pailes de laiens, 	e le facce coprire del più ricco palio di là entro. 
Et quant il lot atorne au plus richement quil pot.  si li dist li cheualiers  qui le deuoit mener,  Sire fait il.  che seroit boin.  que nous mouissons de nuit.  pourcoi fait lancelot.  pour chou fait il 	quando asi lo vieron lleuar  e lançarote fue gran pieça  llorando conel cuerpo de Galeote 	Et quant il leut atournee au plus richement  quil peut.  le cheualier prisonnier luy dist.  sire fait il se len mouuoit de nuyt  ce seroit grant sens.  pour quoy fait il. 	et quant il lot atornre au plus richement  que il pot.  Li cheualiers prisons dit si fait  il se len mouoit tout de nuit se seroit sens.  Por ce fait il 	Quant il leust apointe le mieulz  qu il peut le cheualier prisonnier lui dist.  Sire il seroit bon de emporter le corps de nuit.  Pour quoy fait lancelot  Pource fait il 	et quant il l’ot atornee al plus richement  qu’il pot,  li chevaliers prisons li dist: «  Sire,  fet il,  se l’en movoit tot de nuis,  ce seroit sens. —  Por quoi ?  fet il. — 	E quand’elli l’ebe aconcia al più riccamente  ch’elli poté,  il cavaliere prigione gli disse:  «Sire,  diss’elli,  se l’uomo movesse di notte,  ciò sarebe gran senno. — 
que se li cheualier de chest pais le sauoient 		par ce que si les cheualiers de ce pays sauoient 	que ce li cheualier de cest pais sauoient 	que se les cheualiers de ce pais sauoient 	Por ce que, se li chevalier de cest païs savoient 	Perché?,  disse Lancellotto. — 
que on len deust emporter.  il feroient gaitier lez trespas  Si quil seroit arrestes en aucun lieu.  Et pour chou vous loeroie iou 	e diçiendo sus proezas e su valor  e si no fuese porla donçella 	que len le deust la porter  ilz feroient guecter les trepas  si quil seroit arreste en aucun lieu.  et pour ce uous loueroye 	que on le deust laiens porter:  il feroient garder les trespas.  si que il seroit arester en aucun lieu.  et porce loeroie 	que len le deust emporter  ilz feroient garder le trespas.  Et pour ce uous conseilleroie 	que l’en len deust porter,  il feroient gaitier les trespas  si qu’il seroit arestés en alcun lieu ;  et por ce vos loeroie je qu’il meust orendroit, 	Per ciò,  diss’elli,  che s’e cavalieri di questo paese sapessono  che l’uomo ne l dovesse portare,  elli farebono guardare intra’ passi,  sicché sarebbe arestato in alcuno luogo.  E perciò vo lodere' io 
quil meust orendroit. 	que del lago auia venido 	ie quil meust maintenant 	ie que il meust orendroit. 	que on partist  car il seroit bien eslongnie 	kar il seroit bien eslongiés, 	che vo' movereste oraindiritto, 
Car il seroit eslongies. X. lieues  ains quil fust iors. 	Mucho fiziera mayor duelo 	car il sera bien esloigne auant quil soit iour de uingt lieues anglesches. 	Car il seroit bien eslongiez .xx. lieues Galesches  ains quil fust iors. 	ains qu il feust iour dix lieues anglesches. 	ains qu’il fust jors, XX. lieues englesches. 	ché l’uomo sarebbe bene islungato.  leghe inanzi che fosse giorno». 
Et il si acorde bien.  si fait mettre le litiere sor. ij. palefrois. 	mas ella selo estoruaua 	Et il si accorde bien.  si mect la litierie sur deux palefroys amblans. 	et il si acorde bien.  Si mestent la biere seur ii cheuaus anblans. 	Et il se y accorde/ si met la littiere sur deux pallefrois amblans 	Et il s’i acorde bien;  si met la litiere sor Il. palefrois amblans 	VEd e' vi s’acorda bene,  si mette la lettiera sopra due palafreni ambianti, 
Et emportent ensi Galeholt hors de la maison  Si en ont li frere grant doel 	e anteque lançarote del cuerpo se tornase 	et emportent ainsi galehot hors de la religion  si en font les freres grant deul. 	et enportent ainsi Galeh̾. fors de la religion.  Si en font li frere mout grant duel 	et emportent ainsi gallehaut hors de la maison.  Si en ont les freres grant deul  et sont dolens 	et enportent ensi Galehout fors de sa region;  si en font li frere grant duel et molt en sont corocié et dolenta 	sinne portano Galeotto fuori della religione,  ma molto ne sono e frati di là entro dolenti e crucciati dell’uomo 
		et sont moult corroucez et doulans 				
de ce que on lemporte.  Et lancelot le conuoie grant piece de la nuit plaignant  et plorant sa valour. 	Dixo al cauallero  yo vos defiendo 	de ce qui len lemporte.  Et lancelot li conuoye grant piece de nuyt plourant et plaignant  et regretant sa prouesce et sa ualeur. 	et mout en sont dolent.  et lanc̃ le conuoie gn̾t piece de nuit plorant et plangnant et regretant sa proesce. 	que on lemportoit.  Lancelot le compartie uoie grant piece de la nuit plourant et plaignant et regrettant sa prouesse et sa ualeur. 	de ce que l’en l’enporte.  Et Lancelos le convoie grant piece de nuis,  plorant et regretant sa proesce et sa valor 	che ne l porta.  sE Lancellotto l’acompagna gran peza della notte  piagnendo e facendo duolo  e rigratando sua prodeza e suo valore, 
Et se ne fust la damoisele  qui auec lui estoit.  moult en eust plus fait.  mais cele len destorna. 	Que el Cuerpo demi señor galeote no fagades enterrar  fastaque yo mesmo alla vaya 	et se ne fust la damoisele  qui auec luy estoit.  moult en eust plus fait  quelle ne fist  mais elle len destourna 	et se ne fust la damoisele  qui auec lui estoit mout en eust plus fait  quil ne fist. 	Et se ne feust la damoiselle  qui auec lui estoit moult en eust fait plus quil ne faisoit:  mais elle len destourna. 	et se ne fust la damoisele  qui avec lui estoit molt en eust plus fet  qu’il ne fist,  mais ele l’en detorna, 	e se non fosse la damigella  che con esso lui era,  molto n’avesse più fatto  che non fece.  Ma e' se ne distornò  quand’e l’à gran peza insì acompagnato, 
Et il commanda au cheualier 	e el Cauallero dixo 	et il deffendy au cheualier 	mais le le desfandi au cheualier 	Et lancelot commande au cheualier 	et il deffendi al chevalier 	sì se ne tornò,  ma inanzi difende elli al cavaliere 
quil ne fust enterres deuant chou quil venist a lui. 	que asi lo faria 	quil ne le fist mectre en terre uicquez  a ce que luy mesmes y fust. 	que il ne fust enterres deuant  que lanc᷑. i fust uenus. 	qu il ne feust enterre deuant  quil uenist. 	que il nel feist en terre metre devant que il fust venus. 	che l’uomo nol facesse soppellire nella Gioisosla Guardia  inanzi ch’e' vi fosse venuto, 
A tant sen part de lui lancelot 	entonçe se partio dellos lançarote 	Si se part atant lun de lautre 	Si se partent li un de lautre. 	Si se depart de lui 	Si se part atant li uns de l’autre 	si si parte atanto l’uno da l’altro. 
et retorne a labbaye  si se couche  Ne onques la nuit ne volt mangier ne boire pour chose  que on li deist. 	e tornose al abadia  mas en toda aquella noche no quiso comer ni veuer  por cosa que le dixesen 	et lancelot retourne a labaye  si si couche ne oncquez la nuit  ne uoult boyre ne manger pour chose  quon luy dist 	et lanc̃ retorne a labeye  et se coche ne onques la nuit ne uot mangier ne boire por chose  que len li deist. 	et retourne a la religien se couchier  et oncques ne uoulut la boire ne mengier. 	et il retorne a l’abeie,  si se couche,  c’onques la nuit ne volt mengier ne boivre por chose  que l’en li deist, 	Lancellotto ritorna alla badia,  si si coricò,  né unque la notte non volle mangiare né bere per cosa  che l’uomo gli dicesse, 
ains ploret dolosa tout ades.  Si li anoia moult li iors  qui tant demoroit : 	e non fazia sino llorar  e mucho se quexaua  Porque tanto aquella noche le duraba 	ains pleura et dolousa  si luy ennuyoit moult le iour  qui tant demouroit a uenir. 	ains plora et dolosa tout ades.  si li anuia mout li iors  qui tant demora a uenir. 	si lui ennuya moult le iour  qui tant demouroit a uenir. 	ains plora et dolosa tot adés;  si li anuioit molt li jors  qui tant demoroit a venir. a 	anzi piagne e dolora tutto adesso,  si gli anoiava molto il giorno  che tanto penava a venire. 
Et au matin si tost com li iors apparut. 	e luego  Que el dia aparesçio lançarote se leuanto 	Au matin si tost  que le iour apparu se leua lancelot 	Au mation si tost com li iors aparut  se lena lanc̃. 	Et au matin si tost comme le iour apparust 	Al matin,  si tost com li jors aparut, 	lsAl mattino,  si tosto come il giorno aparve, 
se leua et oy messe entre lui et la damoisele.  lors li dist elle lez noueles de bohort. 	e la donzella otrosi 	et ouy misse luy et la damoisele  et puis sarma.  et lors luy dist elle les nouueles de boort. 	et oi messe entre lui et la damoisele.  et puis sarma  et lors dist ele les nouelles de behort. 	se leua  et ouist messe lui et la damoiselle.  Lors elle lui dist nouuelles de boort 	se leva et oi messe entre lui et la damoisele  et puis s’arma.  Lors » li dist ele les noveles de Boort 	si leva Lancellotto  e udi messa intra lui e la damigella  e poscia s’armò.  Allor gli disse la damigella novelle di Boordo 
comment elle lauoit veu deuant hongrefort  et il en fu moult lies. 	e fueron a oyr misa 	et ce quelle en auoit ueu deuant hunguefort.  et il en fut moult lie 	et se quele en auoit  uen deuant le chastel de honguefort.  et il en fu mout liez 	et que elle lauoit ueu deuant a honguefort  et comment il le fait.  et il en fut moult ioyeux. 	et ce qu’ele en avoit veu devant Honguefort,  et il en fu molt liés. 	e ciò ch’ella n’avea veduto davanti Unguelforte,  ed e' ne fu molto lieto. 
Et elle li dist. 	e desque la misa fue aCabada  Armose e despidiose del fraile 	si luy dist. 	et ele li dist. 	Aprez elle lui dit. 	Et ele li dist: « 	Ed ella gli disse: 
	e entro ensu camino conla donzella 					
	e ellos asi yendo la donçella le conto nuebas de boores 					
	e de como le contesçiera enel castillo de ongeforte 					
	e el fue dello muy alegre 					
	e ella le dixo 					
Sire il vous ua querant.  ne iamais ne finera deuant  ce quil vous aura trouue. 	sabed señor  que vos a buscado  e nunca jamas quedara  fastaque vos falle 	Sire il uous uait querant ne iamais ne finera iucqua  ce quil uous ait trouue. 	Sire il uos ua querant ne ia  mais ne finera  tant quil uos ait troue.  ha; 	Sire il uous ua querant ne iamais ne finera deuant  quil uous aura trouue. 	Sire,  il vos vet querant ne jamés ne finera  tant qu’il vos avra trové. — 	«Sire,  e' vo va cheggendo,  né giamai non finirà infino a tanto che voi abbia trovato. 
Damoisele fait lancelot  se vous le quidies auant trouuer de moi. 	Ay donçella dixo lançarote  si vos lo cuidades fallar 	Haa damoistle fait il  se uous le cuidiez trouuer auant moy 	damoisele fait il se uus le cuidiez trouer ains de moi. 	Damoiselle fait lancelot  se uous le trouuez auant 	Damoisele,  fet il,  se vos le cuidiés trover ains de moi, 	—Hal, damigella, diss’elli,  se voi il credete trovare anzi di me, 
iou vous voldroie proier 	yo vos querria rrogar 	ie uous uoudroye prier  que uous feissez tant pour amour de moy 	Ie uous uodroie prier  que uous feissiez tant por amor de moie: 	que moy ie uous uouldroie prier 	je vos voldroie proier 	i' vo vorrei pregare  che voi faceste tanto, 
					que vos feissiés tant por moi 	
que vous li portissies ceste espee 	que fiziesedes tanto pormi  quele llebasedes esta espada 	que uous luy portassee ceste espee 	que uos li portissiez ceste espee. 	que uous lui porteissiez ceste espee 	que vos li portissiés ceste espee 	per l’amor di me,  che voi gli portaste questa spada 
qui fu monseignor Galeholt, 	que fue demi señor galeote 	qui fu a messire galehot 	qui fu monsignor Gal̾. 	qui fut a mon compaignen gallehaut 	qui fu mon seignor Galehout, 	che fu di monsignor Galeotto, 
Et li dites  quil le port de par moi. 	e dezilde quela traiga pormi amor 	et luy dices  quil la porte de par moy 	et li dires  quil laport de par moi 	et lui dictes  quil la porte de par moy 	et li dites  qu’il la DOrt de par moi, 	e gli dite  che-lla porti da parte di me, 
quar elle est moult bone  et moult bele.  elle dist 	ca mucho es buena e fermosa  yo lo fare 	car moult est bonne.  Et elle dit 	car mout est bone.  et ele dist 	car elle est moult bonne et belle.  Et elle dist 	que molt est bone. »  Et ele dist 	ché molto est buona».  Ed ella dice 
que elle le trouuera bien par tamps  et bien fera ce dist cest message. 	dixo la donçella de grado 	quelle le trouuera tantost  et que bien fera ce message. 	que ele le trouera par tans.  et que bien fera cest mesaige . 	que elle le trouuera par temps  et bien fera ce message. 	qu’ele le trovera par tens  et bien fera cest message; 	ch’ella il troverrà per tempo  e bene farà questo mesaggio, 
Si sen part atant de lui. 	Luego se partio el vno del otro 	si se part atant de luy. 	Atant se part de lanc̃. la damoisele. 	Si se part atant de elle 	si s’en part atant de lui 	si si parte atanto di lui. 
Et il sen vait uers le castel de florega. 	e lançarote se fue contra el castillo de florenga  e andubo tanto 	et il sen ua tout droit.  uers le chastel de fleogo 	et il sen ua tout droit uers le chastel de floego. 	et sen ua uers le chasteau de florega 	et il s’en vet droit vers le chastel de Floego, 	Ed e' se ne va tutto diritto  inverso el castello del Flego, 
Si y uin entor prime. 	que llego alla ante de prima 	si y uint a heure de prime. 	Si i uint a hore de prime et des garde es pres de fors  La uille si auoit mout de gent entor .i. fe. 	si y uint entour prime. 	si i vint a hore de prime. 	si vi venne a ora di prima. 
Et il regarde en mi lez pres dehors la vile  Si vit moult grant gent entor vn fu.  ou on deuoit ardoir le suer melyagant,  CNuant lancelot aperchut le fu  si ot moult grant paour de la damoisele 	e vio ante la villa gran jente alrrededor de vn fuego  e en aquel fuego auian de quemar  ala hermanade meliangas e lançarote  que aquello vido dio  delas espuelas al cauallo  e llego alla 	et il regarde es prez dehors la uille.  si uoit moult grant gent entour ung feu.  Et quant il aparceut le feu si a paour de la damoisele 	Et quant il aparsoit le feu si a paor de la damoisele.  et lors broche li cheual  et uient corant cele part.  tant comme il puet de cheual traire.  et quant il uien iusque la si esgarde  et uoit la damoisele 	et il regarde es prez hors la uille  si y uist moult grant gent entour ung feu  ou len deuoit ardoir la seur de meleagant.  Quant il apperceust le feu  si eut grant paour de la damoiselle.  Lors frappe le cheual des esperons  et uient celle part.  et quant il uoit la damoiselle 	Et il esgarde es pres defors la vile,  si voit molt grant gent entor le feu  ou l’en devoit ardoir la suer Meleagan»,  et quant il aperçoit le feu,  si a poor de la damoisele. Lors broche le cheval  et vint errant cele part  tant com il puet del cheval traire.  Et quant il est venus jusque la,  si esgarde  et voit la damoisele 	Ed e' riguarda nel prato di fuori la villa,  si vi vide molto grande gente intorno uno fuoco,  e quando elli apressima al fuoco, si à paura della damigella  che già era menata al fuoco per distrugere.  i brocca il cavallo delli isproni  e viene in quelle parti correndo  tanto come può del cavallo trarre, 
qui y ia estoit menee au fu pour destruire. 	ca bien cuidaua  que ya quemauan la donçella 	qui ia estoit amenee au feu pour destruire. 	que ia estoit amenee au feu por destruire. 	qui ia estoit amenee au feu  pour destruire 	qui ja estoit amenee al feu por destruire, 	e quand’egli è là venuto, 
Si estoit en vne poure chemise 	e quando el y llego vio la donçella  estar ante el fuego envna muy pobre camisa 	si estoit en sa pure chemise 	Si estoit en la pure chemisse si la tenoien 	laquelle estoit en une poure chemise 	si estoit en pure sa chemise 	si vide la damigella  che già era menata al fuoco 
						per liverarla a morte. 
						Si era in sua pura camicia 
et le tenoient. vi. pautonnier. iij. dune part. et. iij. dautre. 	e tenianla seis billanos  tres dela vna parte e tres dela otra 	et la tenoient six pautonniers dune part et troys dautre 	.ui. pautenier trois deuant et trois derier. 	et la tenoient six pautenniers.  trois de une part et trois dautre: 	et le tenoient. VI. pautonier, trois d’une part et trois d’autre; 	e la tenieno vi. paltonieri,  tre d’una parte e tre d’altra, 
Si natendoient a geter  le el fu fors le commandement as iuges 	e no esperauan al sino el mandamiento delos juezes 	si nactendoient a la gecter ou feu  fors le commandement des uiges. 	Si natandoient a geter li el feu fort le comandement les menistres. 	et ne actendent la iecter au feu  fors le commandement du iuge 	si n’atendoient a geter le el feu  fors le commandement as juges, 	sì non atendieno a gittalla nel fuoco  forse il comandamento del l giudice, 
et elle ploroit moult tendrement 	parala hechar enel fuego  e la donzella lloraua muy fuertemente 	Et elle plouroit merueilleusement 	et ele ploroit trop meruilleusement 	Et elle plouroit moult tendrement 	et ele ploroit trop durement 	ooma ella faceva troppo doloroso pianto 
et regretoit lancelot  et disoit ha : 	e llamaua a lançarote 	et regretoit lancelot. 	et regretoit lanc̾. 	et regrettoit lancelot:  en disant. 	et regretoit Lancelot: « 	e rigrattava Lancellotto molto pietosamente,  si diceva sovente: 
gentiex hom lancelot  quar pleust ore a dieu 	e deçia ay mi buen cauallero  e pluguiese agora anuestro señor 	Haa lancelot gentilz cheualier  De celle mesmes matiere.  que pleust ores a nostre seigneͬ 	ha gentil cheualiers lanc̃.  car pleust ore a dieu 	Haa gentil homme lancelot  car pleust a dieu 	Ha, gentilx chevaliers Lancelos,  kar pleust ore a nostre Salveor 	orHal, gentil cavaliere Lancellotto, che or piacesse ora a Nostro Salvatore 
que vous seussies ceste nouele  et puis vous fuissies chi a demie lieue. 	que supiesedes estas nuebas  e estubiesedes çerca de aqui media legua 	que uous sceussez ceste nouuelle  et que feussez a demye lieue pres de cy. 	que uos seussiez ceste nouelle.  et uos fussiez pres de ci a demi lieue. 	que uous feussiez prez de cy a demy lieue 	que vos seuissiés ceste novele,  si fuissiés pres de ci a demie lieue! 	che vo' sapeste questa dolorosa novella a mio huopo,  per convento  che vo' foste presso di qui a meza lega! 
Certes a laide de dieu et de la uostre fuisse iou encore anuit rescousse malgre mes anemis 	e conla ayuda de dios  e conla vuestra seria yo aCorrida e librada 	et certes a maide de dieu et de la uostre seroye ie encor ennnuyt rescousse malgre tous mes ennemys. 	Certes a laide de dieu  et ala uostre seroie ie encore ennuit rescouce maugre mes anemis. 	certes a laide de dieu  ie seroie rescous se malgre tous mes ennemis 	Certes a l’aide de Dieu et de la vostre seroie  je encore anuit rescosse malgré tos mes enemis. 	osCerto, all’aiuto di Dio e al vostro sarei  io ancora stanotte riscossa a mal grado di tutti miei animici, 
si men conuendra ore a morir pour la vie 	e mas vos no lo sabedes 	et si ne li scauez pas.  si me conuiendra ores mourir pour la uie 	Mais uos ne le sauez pas  si me couanra morir. 	si me conuendra mourir pour la uie 	Mais vos ne le savés pas a,  si me covendra ore morir por la vie 	ma vo' nol saprete mica,  si me ne converrà ora a morire vilmente 
que iou vous saluai apres dieu. 	e asi me conuerna a morir 	que ie uous sauuay. 	por la uie  que ie uos sauuai apres dieu. 	que ie uous sauuay aprez dieu  mais certes dit elle 	que je vos sauvai emprés Dieu; 	per ciò ch’io voi salvai la vita apresso Iddio. 
Mais il ne me poise mie  tant pour moi 	mas no me pesa tanto pormi como porel pesar 	mais certes il ne men poist pas tant pour moy 	mais certes il ne men poise pas tant por moi comme por uos. 	il ne me poise pas tant pour moy 	mais certes il ne m’en poise pas tant por moi 	Hal, lassa, come qui à dolorose novelle a mio huopob.  ¡Poscia dice:  «Certo,  e non me ne pesa tanto per me 
comme il fait pour le corous 		comme il fait pour le corroux. 	por le corrous 	comment il fait pour le courroust 	com il fet por le coros 	come fa per lo trascruccio grande 
que vous en aures  quant vous saures ma mort. 	que vos abredes  Quando lo supieredes 	Mais ce me reconforte moult. 	que uos en arrois  quant uos le saurois. 	que uous aurez  quant uous le saurez 	que vos en avrois,  quant vos le savrois. 	che voi arete di mia morte,  quando vo' saprete il martidio  che l’uomo m’arà per voi giudicata. 
Mais ce me conforte moult 	Mas esto me conorta mucho 	car ie scay bien 	mais ce me reconforte mout. 	mais ce me conforte 	Mais ce me reconforte molt 	etMa ciò mi riconforta molto, bel dolze sire,  ch’io so bene 
que les puceles gaaigneront en ma mort. 	que yo se quelas donçellas ganaran mucho enla my muerte 	que les damoiseles  qui queront tant en ma mort 	que ie sai bien  queles damoisele gaangneront tant en ma mort 	que ie scay bien  que les damoiselles gaigneront a ma mort 	que je sai bien  que les damoiseles gaaigneront tant en ma mort 	che lla mia morte fia guarento a tutti i giorni di tutte le damigelle del mondo.  esSi so bene 
						che lle damigelle guadagnano oggi 
quar iamais nulle ne vous requerra dayde  que vous ne li aidies 	que jamas donzella no vos rrequirira de ayuda  que le vos non fagades 	que iamais nulle ne uous requerra daide.  a qui uous faillez 	que iamais nule ne uos requerra a aide.  que uos li faillois 	car iamais nulles ne uous requerrent daide  que uous ne les aidez 	que jamés nule ne vos requerra d’aide  que vos li faillois 	tanto che giamai non voi ne richiedrà niuna d’aiuto 
tant comme il vous sousuiegne de moi. 	tanto que vos acuerde demi 	tant quil uous rememberra de moy. 	tant comme il uos membera de moi. 	tant quil uous souuiengne de moy 	tant com il vos remenbre de moi, 	che vo' le falliate tanto come vo soverrà di me, 
Car vostre cuers est si grans  quil ne puet estre sans grant merite rendre a toutes celes 	ca vos sodes tan noble e tan franco  que siempre dareis buen galardon  a todos aquellos 	Car uostre cuer est si franc  quil ne puet estre sans trop grant merite rendre a toutes celles 	Car uostres cuers est si sains  quil ne puet estre sans grant merites rendre a totes celes 	car uren cueur est ainsi franc. 	kar vostre cuers est si frans  qu’il ne puet estre sans trop grant merites rendre a totes celes 	ché vostro cuore est sì franco  che non può essere sanza troppo grande merito rendere a tutte quelle 
qui de par moi vous reclameront  Si mest auis  que il mest moult miex a lame pour la loiaute faire 	que demi se lamentaren  e mucho me sera buena al alma esta muerte  que Resçibire 	qui de par moy uous reclament.  Si mest adius quil est moult mieulx a ma uie de mourir 	qui de par moi se reclameront.  Si mest auis  que il est miex a marme de morir por la loiaute faire 	Si mest auiz  quil mest mieulx a lame  pour loiaulle faire 	qui de par moi se reclaiment:  si m’est avis  qu’il m’est molt miels a m’ame de morir por loialté fere 	che da parte di me si richiameranno.  Si m’è aviso  che, per lo profitto che nascerà di mia morte,  ch’egli è il meglio a mia anima 
						di morire 
						per lealtà fare 
et pour geter de prison si uaillant homme 	porque saque de prision atan noble ome 	pour si hault affaire et pour gecter de prison si uaillant homme 	et por oster de prison si uaillant home 	et pour ietter de peril ung si uaillant homme 	et por geter de prison si vaillant home 	e per gittare di pregione  uno si valente huomo 
comme vous estes. 	Como vos que vos fuerades muerto 	comme uous estes 	comme uos estes ; 	comment uous/ 	comme vos 	come vo' siete 
que vous fuissies mors pour la desloiaute melyagant 	porla deslealtad de meliangas 	que uous feussez mort par la desleaute de meleagan 	que uos fussiez mors par la desloiaute meleagant 	que se uous feussies mort par la desloyaulte melleagant/ 	que vos fuissiés mors par la desloialté de Meleagan 	che vo' foste morto per la dislealtà di Meleagant 
qui en prison vous auoit mis. 	que en prision vos tenia 	qui en prison uous auoit mis par traison. 	qui uos auoit mis en prison par traison. 	qui en prison uous auoit mis. 	qui en prison vos avoit mis par traïson. » 	che n pregione voi avea messo per sua grande tradigione». 
